Apparent_Magnitude,Redshift,FWHM_pixels,Color_g_minus_r,Ellipticity,Signal_to_Noise,Label
19.489,0.79587,2.381,0.866,0.333,46.68,1
21.988,0.729902,3.081,1.809,0.435,25.37,1
22.51,0.477237,4.737,1.647,0.26,41.76,1
19.971,0.20176,3.644,0.748,0.381,46.49,1
22.447,0.847629,2.706,0.888,0.662,22.02,1
19.207,0.059454,4.739,1.048,0.434,12.6,1
20.313,0.36047,3.272,1.017,0.269,31.56,1
22.906,0.180559,1.877,1.512,0.339,28.74,1
19.162,0.606223,2.915,0.791,0.457,26.21,1
25.87,0.078087,2.271,1.419,0.435,36.23,1
18.331,0.211876,4.931,1.214,0.601,32.8,1
16.851,0.322902,4.758,0.065,0.217,26.3,1
20.935,0.701947,4.159,0.96,0.319,40.42,1
18.755,0.815263,2.071,1.694,0.249,20.99,1
24.141,0.619713,4.237,1.694,0.399,20.08,1
18.122,0.069189,2.521,0.847,0.418,43.59,1
19.984,0.358668,3.913,0.925,0.386,32.79,1
20.516,0.228708,4.596,0.768,0.494,26.92,1
20.204,0.450732,4.016,0.676,0.305,16.76,1
20.111,0.456716,2.716,1.705,0.31,44.83,1
17.601,0.234617,3.99,1.04,0.578,15.44,1
21.971,0.392949,2.267,0.82,0.435,35.48,1
26.473,0.54227,3.553,1.503,0.371,37.93,1
16.698,0.266076,5.265,0.774,0.27,23.33,1
18.15,0.167894,4.132,1.313,0.509,40.55,1
19.56,0.710255,3.781,1.365,0.377,10.69,1
19.916,0.43595,2.96,1.716,0.351,28.12,1
18.396,0.482199,3.616,1.216,0.397,26.32,1
14.895,0.088648,4.942,1.102,0.428,12.19,1
18.434,0.106632,5.226,1.692,0.083,38.71,1
15.55,7e-05,1.46,0.666,0.013,52.11,0
21.395,0.416341,4.636,0.779,0.299,30.3,1
15.663,0.000149,1.507,0.394,0.01,30.36,0
22.006,0.528587,4.701,1.406,0.15,22.34,1
20.311,0.703395,3.413,1.246,0.228,45.2,1
20.784,0.301854,3.971,1.38,0.257,35.69,1
19.902,0.689781,2.13,1.02,0.547,28.28,1
14.591,0.000331,1.267,0.31,0.033,41.32,0
23.839,0.548696,5.459,1.224,0.367,13.94,1
17.013,0.000249,1.54,0.717,0.039,69.58,0
22.656,0.606076,6.251,1.029,0.174,27.68,1
21.805,0.641517,6.043,1.592,0.452,26.69,1
18.879,0.297368,5.204,1.412,0.335,34.02,1
20.917,0.534063,4.793,0.754,0.437,29.72,1
23.97,0.422529,3.998,1.39,0.233,15.49,1
13.544,0.000142,1.021,0.621,0.001,30.72,0
15.734,0.351994,3.1,1.162,0.3,21.41,1
24.094,0.334953,3.264,1.267,0.428,46.86,1
19.733,0.445252,2.527,1.202,0.657,43.08,1
15.709,0.624769,4.609,1.179,0.509,53.64,1
22.606,0.020986,4.096,1.44,0.629,20.8,1
18.3,0.278997,3.991,1.373,0.375,46.42,1
18.152,0.457443,4.361,1.525,0.43,21.47,1
18.652,0.459162,6.804,1.435,0.462,32.51,1
20.701,0.269721,2.441,1.644,0.397,17.62,1
23.006,0.608189,5.076,1.164,0.496,33.15,1
17.434,0.289527,4.56,1.314,0.109,21.31,1
18.619,0.387841,3.472,1.158,0.357,29.57,1
21.498,0.261363,5.237,1.241,0.526,33.42,1
26.418,0.445782,4.016,1.09,0.321,15.6,1
26.433,0.486308,3.034,1.786,0.635,19.29,1
18.346,0.214058,3.307,1.183,0.226,31.27,1
20.575,0.494362,3.446,1.661,0.726,38.08,1
15.998,0.000551,1.191,0.477,0.075,43.77,0
20.86,0.456981,3.236,0.422,0.294,28.32,1
19.449,0.772313,4.936,1.314,0.188,46.3,1
25.564,0.363836,4.445,1.314,0.344,41.59,1
18.724,0.209155,5.837,1.447,0.314,25.67,1
17.248,0.460288,3.202,0.697,0.572,19.55,1
18.794,0.615959,3.579,0.85,0.528,29.83,1
20.024,0.313146,1.677,0.996,0.685,23.33,1
15.694,0.000152,1.183,0.519,0.031,35.24,0
17.868,0.741725,4.832,1.045,0.49,22.93,1
19.061,0.430322,2.269,1.247,0.446,17.03,1
19.234,0.122094,4.344,1.373,0.637,37.83,1
21.888,0.532289,3.908,0.865,0.458,35.27,1
18.811,0.205613,2.429,0.662,0.36,21.07,1
25.868,0.019246,3.4,0.974,0.298,38.91,1
19.744,0.054524,3.357,1.29,0.399,22.01,1
21.425,0.479306,4.467,1.39,0.585,20.18,1
25.002,0.463122,3.327,1.161,0.52,32.0,1
23.789,0.811727,3.432,1.654,0.465,42.04,1
22.716,0.356775,3.117,0.881,0.283,35.69,1
19.633,0.137958,3.176,0.741,0.396,17.38,1
22.712,0.638238,4.36,1.091,0.37,37.72,1
18.146,0.18588,4.085,1.25,0.313,43.51,1
18.542,0.559174,3.248,0.965,0.304,23.72,1
18.756,0.451036,2.989,1.274,0.458,38.28,1
20.397,0.727594,3.194,0.735,0.384,32.24,1
18.999,0.431291,3.884,1.506,0.321,37.73,1
19.228,0.217829,5.451,1.027,0.601,39.12,1
15.999,0.000136,1.26,0.79,0.023,47.33,0
20.863,0.406868,3.644,1.432,0.512,28.62,1
19.737,0.571236,4.348,1.522,0.116,33.69,1
18.003,0.270414,2.719,1.256,0.299,22.76,1
19.714,0.32108,2.96,1.18,0.379,26.96,1
16.449,0.512233,3.153,1.022,0.239,27.08,1
18.552,0.023401,4.124,1.825,0.308,29.06,1
17.821,0.501238,4.684,1.14,0.646,29.26,1
20.52,0.201545,5.282,1.164,0.324,24.0,1
16.877,0.470143,5.067,0.922,0.467,11.21,1
19.236,0.199685,3.432,1.335,0.655,33.41,1
23.541,0.059729,4.317,0.998,0.327,26.1,1
19.083,0.731552,2.32,1.181,0.24,31.17,1
15.865,0.798212,1.903,0.667,0.324,35.23,1
18.097,0.335798,4.703,1.107,0.216,17.57,1
18.697,0.524595,5.217,1.077,0.33,37.47,1
19.21,0.151667,3.93,1.33,0.367,27.58,1
18.991,0.529713,2.457,1.372,0.518,32.73,1
22.16,0.708588,4.209,1.387,0.147,23.45,1
19.549,0.430676,2.653,1.082,0.315,44.94,1
20.604,0.630341,3.758,1.413,0.329,34.76,1
17.484,0.490286,4.846,0.852,0.201,24.36,1
22.468,0.010011,4.137,1.376,0.459,37.08,1
